row,name,mass,planetaryRadius,orbitalPeriod,discoveryYear
270,HAT-P-21 b,4.063,1.024,4.124461,2010
271,HAT-P-22 b,2.147,1.08,3.21222,2010
272,HAT-P-23 b,2.09,1.368,1.212884,2010
273,HAT-P-24 b,0.685,1.242,3.35524,2010
274,HAT-P-25 b,0.567,1.19,3.652836,2010
275,HAT-P-26 b,0.058521851,0.564725782,4.234516,2010
276,HAT-P-27-WASP-40 b,0.66,1.055,3.0395803,2011
277,HAT-P-28 b,0.626,1.212,3.257215,2011
278,HAT-P-29 b,0.778,1.107,5.723186,2011
279,HAT-P-3 b,0.591,0.827,2.899703,2007
280,HAT-P-30-WASP-51 b,0.711,1.34,2.810595,2011
281,HAT-P-31 b,2.171,1.07,5.005425,2011
282,HAT-P-32 b,0.941,2.037,2.150009,2011
283,HAT-P-33 b,0.763,1.827,3.474474,2011
284,HAT-P-34 b,3.328,1.107,5.452654,2012
285,HAT-P-35 b,1.054,1.332,3.646706,2012
286,HAT-P-36 b,1.832,1.264,1.327347,2012
287,HAT-P-37 b,1.169,1.178,2.797436,2012
288,HAT-P-38 b,0.267,0.825,4.640382,2012
289,HAT-P-39 b,0.599,1.571,3.54387,2012
290,HAT-P-4 b,0.68,1.27,3.0565114,2007
291,HAT-P-40 b,0.615,1.73,4.457243,2012
292,HAT-P-41 b,0.8,1.685,2.694047,2012
293,HAT-P-42 b,0.975,1.277,4.641876,2012
294,HAT-P-43 b,0.66,1.283,3.332688,2012
295,HAT-P-44 b,0.392,1.28,4.301217,2013
296,HAT-P-44 c,1.6,,219.9,2013
297,HAT-P-45 b,0.892,1.426,3.128992,2013
298,HAT-P-46 b,0.493,1.284,4.463129,2013
299,HAT-P-46 c,2,,77.7,2013
300,HAT-P-47 b,0.206,1.313,4.732182,2016
301,HAT-P-48 b,0.168,1.131,4.40865,2016
302,HAT-P-49 b,1.73,1.413,2.691548,2014
303,HAT-P-5 b,1.06,1.252,2.788491,2007
304,HAT-P-50 b,1.36,1.288,3.1220109,2015
305,HAT-P-51 b,0.309,1.293,4.2180278,2015
306,HAT-P-52 b,0.819,1.009,2.7535953,2015
307,HAT-P-53 b,1.487,1.318,1.9616241,2015
308,HAT-P-54 b,0.76,0.944,3.799847,2014
309,HAT-P-55 b,0.582,1.182,3.5852467,2015
310,HAT-P-56 b,2.2,1.466,2.7908327,2015
311,HAT-P-57 b,1.85,1.413,2.465295,2015
312,HAT-P-6 b,1.057,1.33,3.853003,2007
313,HAT-P-65 b,0.527,1.89,2.6054552,2016
314,HAT-P-66 b,0.783,1.59,2.972086,2016
315,HAT-P-67 b,0.34,2.085,4.81010205,2017
316,HAT-P-7 b,1.741,1.431,2.204735471,2008
317,HAT-P-8 b,1.34,1.5,3.0763402,2008
318,HAT-P-9 b,0.67,1.4,3.922814,2008
319,HATS-1 b,1.855,1.302,3.446459,2012
320,HATS-10 b,0.526,0.969,3.312846,2015
321,HATS-11 b,0.85,1.51,3.6191613,2016
322,HATS-12 b,2.4,1.35,3.142833,2016
323,HATS-13 b,0.543,1.212,3.0440499,2015
324,HATS-14 b,1.071,1.039,2.7667641,2015
325,HATS-15 b,2.17,1.105,1.74748753,2014
326,HATS-16 b,3.27,1.3,2.686502,2015
327,HATS-17 b,1.338,0.777,16.254611,2016
328,HATS-18 b,1.98,1.337,0.8378434,2016
329,HATS-19 b,0.427,1.66,4.569673,2016
330,HATS-2 b,1.345,1.168,1.354133,2013
331,HATS-20 b,0.273,0.776,3.7992969,2016
332,HATS-21 b,0.332,1.123,3.5543973,2016
333,HATS-22 b,2.74,0.953,4.7228124,2016
334,HATS-23 b,1.47,1.86,2.1605156,2015
335,HATS-24 b,2.44,1.487,1.3484954,2016
336,HATS-25 b,0.613,1.26,4.2986432,2016
337,HATS-26 b,0.65,1.75,3.3023881,2016
338,HATS-27 b,0.53,1.5,4.637038,2016
339,HATS-28 b,0.672,1.194,3.1810781,2016
340,HATS-29 b,0.653,1.251,4.6058749,2016
341,HATS-3 b,1.071,1.381,3.547851,2013
342,HATS-30 b,0.706,1.175,3.1743516,2016
343,HATS-31 b,0.88,1.64,3.37796,2016
344,HATS-32 b,0.92,1.249,2.8126548,2016
345,HATS-33 b,1.192,1.23,2.5495551,2016
346,HATS-34 b,0.941,1.43,2.1061607,2016
347,HATS-35 b,1.222,1.464,1.8209933,2016
348,HATS-4 b,1.323,1.02,2.516729,2014
