row,name,mass,planetaryRadius,orbitalPeriod,discoveryYear
1692,Kepler-1472 b,,0.17,38.1312831,2016
1693,Kepler-1473 b,,0.106,14.4273551,2016
1694,Kepler-1474 b,,0.193,36.4333452,2016
1695,Kepler-1475 b,,0.261,82.177374,2016
1696,Kepler-1476 b,,0.149,10.35863224,2016
1697,Kepler-1477 b,,0.105,11.55530021,2016
1698,Kepler-1478 b,,0.154,26.0840594,2016
1699,Kepler-1479 b,,0.163,14.53261362,2016
1700,Kepler-148 b,,0.161,1.729366,2014
1701,Kepler-148 c,,0.321,4.180043,2014
1702,Kepler-148 d,,0.774,51.84688575,2016
1703,Kepler-1480 b,,0.149,22.12679948,2016
1704,Kepler-1481 b,,0.11,5.94220998,2016
1705,Kepler-1482 b,,0.09,12.25383217,2016
1706,Kepler-1483 b,,0.136,9.5085156,2016
1707,Kepler-1484 b,,0.188,30.4549136,2016
1708,Kepler-1485 b,,0.131,19.9157725,2016
1709,Kepler-1486 b,,0.207,54.6495759,2016
1710,Kepler-1487 b,,0.19,7.31946363,2016
1711,Kepler-1488 b,,0.166,39.8189932,2016
1712,Kepler-1489 b,,0.158,82.294751,2016
1713,Kepler-149 b,,0.376,29.198943,2014
1714,Kepler-149 c,,0.144,55.328328,2014
1715,Kepler-149 d,,0.353,160.018032,2014
1716,Kepler-1490 b,,0.271,92.4362973,2016
1717,Kepler-1491 b,,0.135,16.5861762,2016
1718,Kepler-1492 b,,0.133,16.75255007,2016
1719,Kepler-1493 b,,0.126,15.0217983,2016
1720,Kepler-1494 b,,0.274,91.080482,2016
1721,Kepler-1495 b,,0.262,85.273256,2016
1722,Kepler-1496 b,,0.198,64.6588017,2016
1723,Kepler-1497 b,,0.148,8.74199772,2016
1724,Kepler-1498 b,,0.119,48.051405,2016
1725,Kepler-1499 b,,0.106,44.2008,2016
1726,Kepler-15 b,0.66,0.96,4.942782,2011
1727,Kepler-150 b,,0.112,3.428054,2014
1728,Kepler-150 c,,0.329,7.381998,2014
1729,Kepler-150 d,,0.249,12.56093,2014
1730,Kepler-150 e,,0.278,30.826557,2014
1731,Kepler-150 f,0.0283,0.325,637.2093,2017
1732,Kepler-1500 b,,0.107,15.0330105,2016
1733,Kepler-1501 b,,0.139,14.5564533,2016
1734,Kepler-1502 b,,0.284,41.7083629,2016
1735,Kepler-1503 b,,0.203,96.16987,2016
1736,Kepler-1504 b,,0.19,82.304003,2016
1737,Kepler-1505 b,,0.083,30.8609366,2016
1738,Kepler-1506 b,,0.118,14.0329154,2016
1739,Kepler-1507 b,,0.075,16.0506213,2016
1740,Kepler-1508 b,,0.119,20.7056504,2016
1741,Kepler-1509 b,,0.165,25.4338197,2016
1742,Kepler-151 b,,0.273,15.228958,2014
1743,Kepler-151 c,,0.186,24.674612,2014
1744,Kepler-1510 b,,0.3,84.703921,2016
1745,Kepler-1511 b,,0.15,23.2382792,2016
1746,Kepler-1512 b,,0.105,20.35972599,2016
1747,Kepler-1513 b,,0.755,160.8846509,2016
1748,Kepler-1514 b,,1.055,217.8317626,2016
1749,Kepler-1515 b,,0.852,214.3114164,2016
1750,Kepler-1516 b,,0.156,7.25931979,2016
1751,Kepler-1517 b,,0.871,5.54608367,2016
1752,Kepler-1518 b,,0.272,5.11177904,2016
1753,Kepler-1519 b,,0.63,240.7989397,2016
1754,Kepler-152 b,,0.249,18.207973,2014
1755,Kepler-152 c,,0.213,88.255055,2014
1756,Kepler-1521 b,,0.223,47.14840805,2016
1757,Kepler-1522 b,,0.154,1.84788917,2016
1758,Kepler-1523 b,,0.141,0.93875077,2016
1759,Kepler-1524 b,,0.316,70.9674603,2016
1760,Kepler-1525 b,,0.081,2.41660118,2016
1761,Kepler-1526 b,,0.217,3.908632,2016
1762,Kepler-1527 b,,0.426,160.129918,2016
1763,Kepler-1528 b,,0.13,1.79111021,2016
1764,Kepler-1529 b,,0.187,5.33905686,2016
1765,Kepler-153 b,,0.261,18.870227,2014
1766,Kepler-153 c,,0.226,46.90232,2014
1767,Kepler-1530 b,,0.146,2.5904434,2016
1768,Kepler-1530 c,,0.147,5.3227406,2016
1769,Kepler-1531 b,,0.099,1.13854338,2016
1770,Kepler-1532 b,,0.12,1.09366356,2016
1771,Kepler-1533 b,,0.309,308.5471,2016
1772,Kepler-1534 b,,0.169,5.71668872,2016
1773,Kepler-1535 b,,0.227,138.9442,2016
1774,Kepler-1536 b,,0.28,364.758031,2016
1775,Kepler-1537 b,,0.105,1.4444538,2016
1776,Kepler-1538 b,,0.252,175.138819,2016
1777,Kepler-1539 b,,0.241,133.3036741,2016
1778,Kepler-154 b,,0.202,33.040532,2014
1779,Kepler-154 c,,0.263,62.303276,2014
1780,Kepler-154 d,,0.343,20.54981883,2016
1781,Kepler-154 e,,0.134,3.93276465,2016
1782,Kepler-154 f,,0.134,9.91935684,2016
1783,Kepler-1540 b,,0.222,125.4131177,2016
1784,Kepler-1541 b,,0.103,8.40691199,2016
1785,Kepler-1542 b,,0.068,3.95116882,2016
1786,Kepler-1542 c,,0.058,2.89223021,2016
1787,Kepler-1542 d,,0.078,5.99273738,2016
1788,Kepler-1542 e,,0.068,5.10115756,2016
1789,Kepler-1543 b,,0.242,6.96710269,2016
1790,Kepler-1544 b,,0.159,168.811174,2016
1791,Kepler-1545 b,,0.241,163.692349,2016
1792,Kepler-1546 b,,0.279,19.5974971,2016
1793,Kepler-1547 b,,0.08,0.69297968,2016
1794,Kepler-1548 b,,0.236,124.828679,2016
1795,Kepler-1549 b,,0.229,214.886545,2016
1796,Kepler-155 b,,0.186,5.931194,2014
1797,Kepler-155 c,,0.2,52.661793,2014
1798,Kepler-1550 b,,0.269,225.582809,2016
1799,Kepler-1551 b,,0.237,24.4973698,2016
1800,Kepler-1552 b,,0.22,184.771853,2016
1801,Kepler-1553 b,,0.103,4.24261881,2016
1802,Kepler-1554 b,,0.259,198.088774,2016
1803,Kepler-1555 b,,0.144,8.10501635,2016
1804,Kepler-1556 b,,0.175,8.82713457,2016
1805,Kepler-1557 b,,0.136,3.74032496,2016
1806,Kepler-1558 b,,0.061,3.50470358,2016
1807,Kepler-1559 b,,0.064,0.97191543,2016
1808,Kepler-156 b,,0.205,4.973456,2014
1809,Kepler-156 c,,0.227,15.906801,2014
1810,Kepler-1560 b,,0.079,3.03195744,2016
1811,Kepler-1561 b,,0.097,1.00520701,2016
1812,Kepler-1562 b,,0.317,64.2737752,2016
1813,Kepler-1563 b,,0.067,3.43276598,2016
1814,Kepler-1564 b,,0.131,18.0540381,2016
1815,Kepler-1565 b,,0.106,1.53818844,2016
1816,Kepler-1566 b,,0.07,0.53991524,2016
1817,Kepler-1567 b,,0.244,153.979578,2016
1818,Kepler-1568 b,,0.116,20.925392,2016
1819,Kepler-1569 b,,0.15,5.79180156,2016
1820,Kepler-157 b,,0.118,1.732342,2014
1821,Kepler-157 c,,0.2,13.5405,2014
1822,Kepler-157 d,,0.13,7.02573474,2016
1823,Kepler-1570 b,,0.095,26.548955,2016
1824,Kepler-1571 b,,0.136,3.38555488,2016
1825,Kepler-1572 b,,0.084,5.49548621,2016
1826,Kepler-1573 b,,0.107,2.6157554,2016
1827,Kepler-1574 b,,0.115,6.9424334,2016
1828,Kepler-1575 b,,0.117,2.55314213,2016
1829,Kepler-1576 b,,0.093,6.98471973,2016
1830,Kepler-1577 b,,0.101,6.30560247,2016
1831,Kepler-1578 b,,0.093,1.45088691,2016
1832,Kepler-1579 b,,0.075,0.84990789,2016
1833,Kepler-158 b,,0.189,16.709184,2014
1834,Kepler-158 c,,0.17,28.551383,2014
1835,Kepler-1580 b,,0.188,56.6449279,2016
1836,Kepler-1581 b,,0.071,6.28385491,2016
1837,Kepler-1582 b,,0.133,4.83817712,2016
1838,Kepler-1583 b,,0.054,9.32807355,2016
1839,Kepler-1584 b,,0.144,13.3997099,2016
1840,Kepler-1585 b,,0.16,3.5827463,2016
1841,Kepler-1586 b,,0.136,15.6049212,2016
1842,Kepler-1587 b,,0.119,9.4060467,2016
1843,Kepler-1588 b,,0.068,7.84931739,2016
1844,Kepler-1589 b,,0.097,0.99166527,2016
1845,Kepler-159 b,,0.212,10.139623,2014
1846,Kepler-159 c,,0.304,43.595792,2014
1847,Kepler-1590 b,,0.102,7.61760804,2016
1848,Kepler-1591 b,,0.113,8.18504949,2016
1849,Kepler-1592 b,,0.137,3.05710069,2016
1850,Kepler-1593 b,,0.283,174.509835,2016
1851,Kepler-1594 b,,0.095,2.71603809,2016
1852,Kepler-1595 b,,0.11,4.56380468,2016
1853,Kepler-1596 b,,0.17,66.373379,2016
1854,Kepler-1597 b,,0.095,2.94654179,2016
1855,Kepler-1598 b,,0.085,4.34195123,2016
1856,Kepler-1599 b,,0.145,122.363553,2016
1857,Kepler-16 (AB) b,0.333,0.7538,228.776,2011
1858,Kepler-160 b,,0.137,4.309427,2014
1859,Kepler-160 c,,0.322,13.699087,2014
1860,Kepler-1600 b,,0.279,386.370548,2016
1861,Kepler-1601 b,,0.073,2.20921951,2016
1862,Kepler-1602 b,,0.12,11.17931605,2016
1863,Kepler-1603 b,,0.115,2.27163926,2016
1864,Kepler-1604 b,,0.126,0.68368426,2016
1865,Kepler-1605 b,,0.096,85.7565495,2016
1866,Kepler-1606 b,,0.185,196.435224,2016
1867,Kepler-1607 b,,0.082,13.6473676,2016
1868,Kepler-1608 b,,0.154,16.4735686,2016
1869,Kepler-1609 b,,0.198,114.34219,2016
1870,Kepler-161 b,,0.189,4.921355,2014
1871,Kepler-161 c,,0.183,7.06424,2014
1872,Kepler-1610 b,,0.144,8.70181574,2016
1873,Kepler-1611 b,,0.072,5.1762429,2016
1874,Kepler-1612 b,,0.092,3.91795101,2016
1875,Kepler-1613 b,,0.186,1.5184299,2016
1876,Kepler-1614 b,,0.133,3.9466141,2016
1877,Kepler-1615 b,,0.184,47.3126192,2016
1878,Kepler-1616 b,,0.091,6.76284377,2016
1879,Kepler-1617 b,,0.107,27.4785572,2016
1880,Kepler-1618 b,,0.112,6.10826019,2016
1881,Kepler-1619 b,,0.068,23.6225913,2016
1882,Kepler-162 b,,0.112,6.919798,2014
1883,Kepler-162 c,,0.27,19.446355,2014
1884,Kepler-1620 b,,0.144,101.951829,2016
1885,Kepler-1621 b,,0.193,92.263714,2016
1886,Kepler-1622 b,,0.131,10.8118737,2016
1887,Kepler-1623 b,,0.117,4.36128348,2016
1888,Kepler-1624 b,,0.509,3.29030452,2016
1889,Kepler-1625 b,10,1,287.378949,2016
1890,Kepler-1626 b,,0.18,4.13962966,2016
1891,Kepler-1627 b,,0.329,7.20283653,2016
1892,Kepler-1628 b,,0.574,76.378033,2016
1893,Kepler-1629 b,,0.069,3.87595807,2016
1894,Kepler-163 b,,0.094,7.810937,2014
1895,Kepler-163 c,,0.202,21.347262,2014
1896,Kepler-1630 b,,0.195,509.997402,2016
1897,Kepler-1631 b,,0.12,4.09513932,2016
1898,Kepler-1632 b,,0.22,448.303558,2016
1899,Kepler-1633 b,,0.141,186.404271,2016
1900,Kepler-1634 b,,0.285,374.876239,2016
1901,Kepler-1635 b,,0.325,469.63111,2016
1902,Kepler-1636 b,,0.288,425.47785,2016
1903,Kepler-1637 b,,0.079,6.10960324,2016
1904,Kepler-1638 b,,0.167,259.33683,2016
1905,Kepler-1639 b,,0.23,9.878482,2016
1906,Kepler-164 b,,0.126,5.03503,2014
1907,Kepler-164 c,,0.244,10.945723,2014
1908,Kepler-164 d,,0.219,28.986769,2014
1909,Kepler-1640 b,,0.43,7.5844126,2016
1910,Kepler-1641 b,,0.277,19.672266,2016
1911,Kepler-1641 c,,0.263,32.657212,2016
1912,Kepler-1642 b,,0.285,12.2057513,2016
1913,Kepler-1642 c,,0.237,6.6513802,2016
1914,Kepler-1643 b,,0.205,5.34264507,2016
1915,Kepler-1644 b,,0.168,21.0907758,2016
1916,Kepler-1645 b,,0.159,16.1779561,2016
1917,Kepler-1646 b,,0.11,4.48558383,2016
1918,Kepler-1647 (AB) b,1.52,1.06,1107.5923,2015
1919,Kepler-1649 b,,0.0964,8.68909,2017
1920,Kepler-165 b,,0.207,8.180848,2014
1921,Kepler-165 c,,0.199,15.31299,2014
1922,Kepler-1650 b,,0.067,1.538181528,2017
1923,Kepler-166 b,,0.203,7.650254,2014
1924,Kepler-166 c,,0.212,34.260281,2014
1925,Kepler-166 d,,0.154,1.55400393,2016
1926,Kepler-167 b,,0.129,4.393147,2014
1927,Kepler-167 c,,0.122,7.406097,2014
1928,Kepler-167 d,0.006,0.1065,21.803855,2016
1929,Kepler-167 e,4,0.91,1071.23228,2016
1930,Kepler-168 b,,0.13,4.425391,2014
1931,Kepler-168 c,,0.24,13.193242,2014
1932,Kepler-169 b,,0.101,3.250619,2014
1933,Kepler-169 c,,0.108,6.195469,2014
1934,Kepler-169 d,,0.112,8.348125,2014
1935,Kepler-169 e,,0.196,13.767102,2014
1936,Kepler-169 f,,0.23,87.090195,2014
1937,Kepler-17 b,2.45,1.312,1.4857108,2011
1938,Kepler-170 b,,0.285,7.930592,2014
1939,Kepler-170 c,,0.255,16.665863,2014
1940,Kepler-171 b,,0.209,4.166972,2014
1941,Kepler-171 c,,0.228,11.463462,2014
1942,Kepler-171 d,,0.169,39.595519,2014
1943,Kepler-172 b,,0.21,2.940309,2014
1944,Kepler-172 c,,0.255,6.388996,2014
1945,Kepler-172 d,,0.201,14.627119,2014
1946,Kepler-172 e,,0.246,35.118736,2014
1947,Kepler-173 b,,0.115,4.263742,2014
1948,Kepler-173 c,,0.217,8.005777,2014
1949,Kepler-174 b,,0.175,13.98179,2014
1950,Kepler-174 c,,0.133,44.000529,2014
1951,Kepler-174 d,,0.195,247.35373,2014
1952,Kepler-175 b,,0.228,11.903515,2014
1953,Kepler-175 c,,0.277,34.035257,2014
1954,Kepler-176 b,,0.128,5.433074,2014
1955,Kepler-176 c,,0.232,12.759712,2014
1956,Kepler-176 d,,0.224,25.751974,2014
1957,Kepler-176 e,,0.129,51.16579,2016
1958,Kepler-177 b,0.00535,0.259,35.855,2013
1959,Kepler-177 c,0.0198,0.635,49.412,2013
1960,Kepler-178 b,,0.259,9.576694,2014
1961,Kepler-178 c,,0.257,20.552802,2014
1962,Kepler-178 d,,0.352,96.678988,2014
1963,Kepler-179 b,,0.146,2.735926,2014
1964,Kepler-179 c,,0.178,6.40013,2014
1965,Kepler-18 b,0.021615329,0.178428367,3.504725,2011
1966,Kepler-18 c,0.054116981,0.488893726,7.64159,2011
1967,Kepler-18 d,0.051285278,0.62182286,14.85888,2011
1968,Kepler-180 b,,0.134,13.817124,2014
1969,Kepler-180 c,,0.269,41.885775,2014
1970,Kepler-181 b,,0.113,3.137873,2014
1971,Kepler-181 c,,0.178,4.302149,2014
1972,Kepler-182 b,,0.23,9.825792,2014
1973,Kepler-182 c,,0.306,20.684342,2014
1974,Kepler-183 b,,0.184,5.687945,2014
1975,Kepler-183 c,,0.203,11.637071,2014
1976,Kepler-184 b,,0.211,10.687576,2014
1977,Kepler-184 c,,0.176,20.303005,2014
1978,Kepler-184 d,,0.222,29.022358,2014
1979,Kepler-185 b,,0.104,1.6329,2014
1980,Kepler-185 c,,0.18,20.729042,2014
1981,Kepler-186 b,,0.102,3.886803,2014
1982,Kepler-186 c,,0.12,7.267277,2014
1983,Kepler-186 d,,0.139,13.343058,2014
1984,Kepler-186 e,,0.119,22.407793,2014
1985,Kepler-186 f,,0.099027744,129.9459,2014
1986,Kepler-187 b,,0.126,4.938864,2014
1987,Kepler-187 c,,0.238,10.640263,2014
1988,Kepler-188 b,,0.15,2.061897,2014
1989,Kepler-188 c,,0.285,5.996553,2014
1990,Kepler-189 b,,0.108,10.399931,2014
1991,Kepler-189 c,,0.212,20.134866,2014
1992,Kepler-19 b,0.026,0.198,9.2869944,2011
1993,Kepler-19 c,0.0412,,28.731,2011
1994,Kepler-19 d,0.0708,,62.95,2017
1995,Kepler-190 b,,0.139,2.019999,2014
1996,Kepler-190 c,,0.13,3.763024,2014
1997,Kepler-191 b,,0.12,9.939632,2014
1998,Kepler-191 c,,0.166,17.738506,2014
1999,Kepler-191 d,,0.203,5.94504102,2016
2000,Kepler-192 b,,0.244,9.926746,2014
2001,Kepler-192 c,,0.249,21.2234,2014
2002,Kepler-192 d,,0.091,6.47027579,2016
2003,Kepler-193 b,,0.213,11.38848,2014
2004,Kepler-193 c,,0.245,50.697494,2014
2005,Kepler-194 b,,0.135,2.092281,2014
2006,Kepler-194 c,,0.231,17.308032,2014
2007,Kepler-194 d,,0.214,52.814973,2014
2008,Kepler-195 b,,0.181,8.307872,2014
2009,Kepler-195 c,,0.138,34.096863,2014
2010,Kepler-196 b,,0.17,20.739886,2014
2011,Kepler-196 c,,0.2,47.427737,2014
2012,Kepler-197 b,,0.09492,5.599293,2014
2013,Kepler-197 c,0.017,0.1078,10.349711,2014
2014,Kepler-197 d,,0.111,15.67787,2014
2015,Kepler-197 e,,0.0877,25.2097,2014
2016,Kepler-198 b,,0.252,17.790037,2014
2017,Kepler-198 c,,0.22,49.567416,2014
2018,Kepler-198 d,,0.136,1.31184443,2016
2019,Kepler-199 b,,0.277,23.637604,2014
2020,Kepler-199 c,,0.29,67.093408,2014
2021,Kepler-20 b,0.0305,0.1667,3.69611525,2011
2022,Kepler-20 c,0.04012,0.2718,10.85409089,2011
2023,Kepler-20 d,0.03168,0.2448,77.61130017,2011
2024,Kepler-20 e,0.0097,0.0772,6.09852281,2011
2025,Kepler-20 f,0.045,0.08948,19.57758478,2011
2026,Kepler-20 g,0.0628,,34.94,2016
2027,Kepler-200 b,,0.19,8.594805,2014
2028,Kepler-200 c,,0.142,10.222157,2014
2029,Kepler-201 b,,0.219,25.672083,2014
2030,Kepler-201 c,,0.254,151.884058,2014
2031,Kepler-202 b,,0.145,4.069427,2014
2032,Kepler-202 c,,0.165,16.282493,2014
2033,Kepler-203 b,,0.229,3.162697,2014
2034,Kepler-203 c,,0.22,5.370647,2014
2035,Kepler-203 d,,0.128,11.32972,2014
2036,Kepler-204 b,,0.226,14.400974,2014
2037,Kepler-204 c,,0.16,25.660593,2014
2038,Kepler-205 b,,0.135,2.75564,2014
2039,Kepler-205 c,,0.146,20.306546,2014
2040,Kepler-206 b,,0.107,7.781987,2014
2041,Kepler-206 c,,0.158,13.137471,2014
2042,Kepler-206 d,,0.106,23.44281,2014
2043,Kepler-207 b,,0.14,1.611865,2014
2044,Kepler-207 c,,0.134,3.071571,2014
2045,Kepler-207 d,,0.295,5.868075,2014
2046,Kepler-208 b,,0.145,4.22864,2014
2047,Kepler-208 c,,0.124,7.466623,2014
2048,Kepler-208 d,,0.107,11.131786,2014
2049,Kepler-208 e,,0.132,16.259458,2014
2050,Kepler-209 b,,0.202,16.087845,2014
2051,Kepler-209 c,,0.277,41.749882,2014
2052,Kepler-21 b,0.016,0.1462,2.78578,2011
2053,Kepler-210 b,,0.3419,2.4532,2014
2054,Kepler-210 c,,0.436,7.9725,2014
2055,Kepler-211 b,,0.112,4.138575,2014
2056,Kepler-211 c,,0.115,6.04045,2014
2057,Kepler-212 b,,0.097,16.257582,2014
2058,Kepler-212 c,,0.244,31.805174,2014
2059,Kepler-213 b,,0.145,2.46236,2014
2060,Kepler-213 c,,0.209,4.822962,2014
2061,Kepler-214 b,,0.233,15.660544,2014
2062,Kepler-214 c,,0.19,28.7798,2014
2063,Kepler-215 b,,0.145,9.360672,2014
2064,Kepler-215 c,,0.158,14.667108,2014
2065,Kepler-215 d,,0.213,30.864423,2014
2066,Kepler-215 e,,0.156,68.16101,2014
2067,Kepler-216 b,,0.21,7.693641,2014
2068,Kepler-216 c,,0.271,17.406669,2014
2069,Kepler-217 b,,0.199,5.374943,2014
2070,Kepler-217 c,,0.165,8.586004,2014
2071,Kepler-217 d,,0.118,3.88689525,2016
2072,Kepler-218 b,,0.132,3.619337,2014
2073,Kepler-218 c,,0.28,44.699576,2014
2074,Kepler-218 d,,0.237,124.5244647,2016
2075,Kepler-219 b,,0.263,4.585512,2014
2076,Kepler-219 c,,0.319,22.714613,2014
2077,Kepler-219 d,,0.251,47.903645,2014
2078,Kepler-22 b,0.11,0.21,289.8623,2011
2079,Kepler-220 b,,0.072,4.159807,2014
2080,Kepler-220 c,,0.14,9.034199,2014
2081,Kepler-220 d,,0.087,28.122397,2014
2082,Kepler-220 e,,0.119,45.902733,2014
2083,Kepler-221 b,,0.153,2.795906,2014
2084,Kepler-221 c,,0.261,5.690586,2014
2085,Kepler-221 d,,0.244,10.04156,2014
2086,Kepler-221 e,,0.235,18.369917,2014
2087,Kepler-222 b,,0.282,3.936981,2014
2088,Kepler-222 c,,0.414,10.08881,2014
2089,Kepler-222 d,,0.329,28.081912,2014
2090,Kepler-223 b,,0.151,7.384108,2014
2091,Kepler-223 c,,0.178,9.848183,2014
2092,Kepler-223 d,,0.266,14.788759,2014
2093,Kepler-223 e,,0.214,19.721734,2014
2094,Kepler-224 b,,0.124,3.132924,2014
2095,Kepler-224 c,,0.278,5.925003,2014
2096,Kepler-224 d,,0.205,11.349393,2014
2097,Kepler-224 e,,0.176,18.643577,2014
2098,Kepler-225 b,,0.107,6.738975,2014
2099,Kepler-225 c,,0.164,18.794234,2014
2100,Kepler-226 b,,0.138,3.940997,2014
2101,Kepler-226 c,,0.203,5.349555,2014
2102,Kepler-226 d,,0.109,8.109044,2014
2103,Kepler-227 b,,0.277,9.488015,2014
2104,Kepler-227 c,,0.271,54.418694,2014
2105,Kepler-228 b,,0.136,2.566546,2014
2106,Kepler-228 c,,0.241,4.134444,2014
2107,Kepler-228 d,,0.36,11.094286,2014
2108,Kepler-229 b,,0.196,6.252972,2014
2109,Kepler-229 c,,0.439,16.068638,2014
2110,Kepler-229 d,,0.343,41.194912,2014
2111,Kepler-23 b,0.0478,0.1511,7.106995,2012
2112,Kepler-23 c,0.189,0.278,10.742434,2012
2113,Kepler-23 d,0.055,0.1994,15.27429,2014
2114,Kepler-230 b,,0.38,32.625555,2014
2115,Kepler-230 c,,0.182,91.773242,2014
2116,Kepler-231 b,,0.154,10.065275,2014
2117,Kepler-231 c,,0.172,19.271566,2014
2118,Kepler-232 b,,0.275,4.431222,2014
2119,Kepler-232 c,,0.342,11.379349,2014
2120,Kepler-233 b,,0.217,8.472382,2014
2121,Kepler-233 c,,0.242,60.418955,2014
2122,Kepler-234 b,,0.33,2.711506,2014
2123,Kepler-234 c,,0.313,7.21205,2014
2124,Kepler-235 b,,0.199,3.340222,2014
2125,Kepler-235 c,,0.114,7.824904,2014
2126,Kepler-235 d,,0.183,20.060548,2014
2127,Kepler-235 e,,0.198,46.183669,2014
2128,Kepler-236 b,,0.14,8.295611,2014
2129,Kepler-236 c,,0.178,23.968127,2014
2130,Kepler-237 b,,0.126,4.715106,2014
2131,Kepler-237 c,,0.186,8.103636,2014
2132,Kepler-238 b,,0.154,2.090876,2014
2133,Kepler-238 c,,0.213,6.155557,2014
2134,Kepler-238 d,,0.274,13.233549,2014
2135,Kepler-238 e,0.626,0.501,23.654,2013
2136,Kepler-238 f,0.056,0.179,50.447,2013
2137,Kepler-239 b,,0.208,11.763051,2014
2138,Kepler-239 c,,0.224,56.228098,2014
2139,Kepler-24 b,1.6,0.21,8.1453,2012
2140,Kepler-24 c,1.6,0.25,12.3335,2012
2141,Kepler-240 b,,0.122,4.144495,2014
2142,Kepler-240 c,,0.196,7.953528,2014
2143,Kepler-241 b,,0.208,12.718092,2014
2144,Kepler-241 c,,0.229,36.065978,2014
2145,Kepler-242 b,,0.233,8.20395,2014
2146,Kepler-242 c,,0.178,14.496481,2014
2147,Kepler-243 b,,0.219,5.715442,2014
2148,Kepler-243 c,,0.178,20.026218,2014
2149,Kepler-244 b,,0.246,4.311792,2014
2150,Kepler-244 c,,0.183,9.767292,2014
2151,Kepler-244 d,,0.206,20.050401,2014
2152,Kepler-245 b,,0.229,7.49019,2014
2153,Kepler-245 c,,0.194,17.460812,2014
2154,Kepler-245 d,,0.27,36.277108,2014
2155,Kepler-245 e,,0.156,3.21982106,2016
2156,Kepler-246 b,,0.209,4.60182,2014
2157,Kepler-246 c,,0.134,11.187161,2014
2158,Kepler-247 b,,0.146,3.33616,2014
2159,Kepler-247 c,,0.365,9.439452,2014
2160,Kepler-247 d,,0.352,20.477912,2014
2161,Kepler-248 b,,0.269,6.308205,2014
2162,Kepler-248 c,,0.363,16.239494,2014
2163,Kepler-249 b,,0.097,3.306539,2014
2164,Kepler-249 c,,0.135,7.113702,2014
2165,Kepler-249 d,,0.14,15.368459,2014
2166,Kepler-25 b,0.028,0.2411,6.2385369,2012
2167,Kepler-25 c,0.045,0.4598,12.7203678,2012
2168,Kepler-25 d,0.282855615,,123,2014
2169,Kepler-250 b,,0.101,4.148141,2014
2170,Kepler-250 c,,0.203,7.156804,2014
2171,Kepler-250 d,,0.194,17.648312,2014
2172,Kepler-251 b,,0.119,4.790936,2014
2173,Kepler-251 c,,0.247,16.514043,2014
2174,Kepler-251 d,,0.247,30.133001,2014
2175,Kepler-251 e,,0.247,99.640161,2014
2176,Kepler-252 b,,0.11,6.668391,2014
2177,Kepler-252 c,,0.192,10.848463,2014
2178,Kepler-253 b,,0.145,3.783986,2014
2179,Kepler-253 c,,0.236,10.281951,2014
2180,Kepler-253 d,,0.283,18.119869,2014
2181,Kepler-254 b,,0.345,5.826662,2014
2182,Kepler-254 c,,0.192,12.412183,2014
2183,Kepler-254 d,,0.223,18.746477,2014
2184,Kepler-255 b,,0.138,5.714606,2014
2185,Kepler-255 c,,0.267,9.946047,2014
2186,Kepler-255 d,,0.118,1.04562266,2016
2187,Kepler-256 b,,0.142,1.620493,2014
2188,Kepler-256 c,,0.192,3.38802,2014
2189,Kepler-256 d,,0.221,5.839172,2014
2190,Kepler-256 e,,0.21,10.681572,2014
2191,Kepler-257 b,,0.233,2.382667,2014
2192,Kepler-257 c,,0.483,6.581484,2014
2193,Kepler-257 d,,0.442,24.664551,2014
2194,Kepler-258 b,,0.362,13.19722,2014
2195,Kepler-258 c,,0.322,33.653079,2014
2196,Kepler-259 b,,0.25,8.115317,2014
2197,Kepler-259 c,,0.241,36.924931,2014
2198,Kepler-26 b,0.00875,0.248,12.2829,2012
2199,Kepler-26 c,0.01949,0.243,17.2513,2012
2200,Kepler-26 e,,0.215,46.827915,2014
2201,Kepler-260 b,,0.179,8.187399,2014
2202,Kepler-260 c,,0.155,76.050178,2014
2203,Kepler-261 b,,0.194,10.381227,2014
2204,Kepler-261 c,,0.178,24.570858,2014
2205,Kepler-262 b,,0.121,13.060855,2014
2206,Kepler-262 c,,0.146,21.853722,2014
2207,Kepler-263 b,,0.238,16.568087,2014
2208,Kepler-263 c,,0.22,47.332773,2014
2209,Kepler-264 b,,0.297,40.806231,2014
2210,Kepler-264 c,,0.252,140.101261,2014
2211,Kepler-265 b,,0.166,6.846262,2014
2212,Kepler-265 c,,0.235,17.028937,2014
2213,Kepler-265 d,,0.222,43.130617,2014
2214,Kepler-265 e,,0.231,67.831024,2014
2215,Kepler-266 b,,0.221,6.61833,2014
2216,Kepler-266 c,,0.347,107.723601,2014
2217,Kepler-267 b,,0.177,3.353728,2014
2218,Kepler-267 c,,0.19,6.87745,2014
2219,Kepler-267 d,,0.203,28.464515,2014
2220,Kepler-268 b,,0.227,25.934138,2014
2221,Kepler-268 c,,0.302,83.446393,2014
2222,Kepler-269 b,,0.22,5.326718,2014
2223,Kepler-269 c,,0.151,8.127899,2014
2224,Kepler-27 b,9.11,0.36,15.3348,2012
2225,Kepler-27 c,13.8,0.44,31.3309,2012
2226,Kepler-270 b,,0.179,11.476094,2014
2227,Kepler-270 c,,0.158,25.262887,2014
2228,Kepler-271 b,,0.079,5.217738,2014
2229,Kepler-271 c,,0.089,7.410935,2014
2230,Kepler-271 d,,0.059,5.24972541,2016
